2M0355;28.0;1.22;1527.0;0.022623793318959917
2MASS J0001+1535;33.0;1.22;1725.0;0.01791601594388731
2MASS J0030-1450;10.0;1.36;1264.0;0.047035909677081905
2MASS J0031+5749;24.0;1.2;1343.0;0.02810267277172709
2MASS J0153-6744;17.0;1.48;1664.0;0.029483239548797197
2MASS J0326-2102;18.0;1.32;1359.0;0.03423558748227848
2MASS J0342-6817;17.0;1.48;1650.0;0.029780777214581135
2MASS J0348-6022;43.0;0.91;880.0;0.02444004912200166
2MASS J0407+1546;67.0;0.97;1840.0;0.008639539035468928
2MASS J0447-1216;51.0;1.02;1521.0;0.013533786427068942
2MASS J0459-2853;8.0;1.32;1152.0;0.05217592925180235
2MASS J0506+5236;26.0;1.05;1065.0;0.03103480101377333
2MASS J0642+4101;12.0;1.23;1124.0;0.04880963766400353
2MASS J0718-6415;3.0;1.29;596.0;0.08407205730317918
2MASS J0809+4434;13.0;1.35;1253.0;0.04381877227354405
2MASS J0951-8023;15.0;1.45;1463.0;0.0357554461790411
2MASS J1219+3128;49.0;0.97;1330.0;0.015350531227257333
2MASS J1551+0941;24.0;1.39;1653.0;0.02460309606504712
2MASS J1647+5632;18.0;1.22;1244.0;0.035928606821925245
2MASS J1741-4642;26.0;1.23;1471.0;0.024747303482138078